eins;un;1;false;0;false;
zwei;deux;2;false;0;false;
drei;trois;3;false;0;false;
vier;quatre;4;false;0;false;
fünf;cinq;5;false;0;false;
sechs;six;6;false;0;false;
sieben;sept;7;false;0;false;
acht;huit;8;false;0;false;
neun;neuf;9;false;0;false;
zehn;dix;10;false;0;false;
elf;onze;11;false;0;false;
zwölf;douze;12;false;0;false;
dreizehn;treize;13;false;0;false;
vierzehn;quatorze;14;false;0;false;
fünfzehn;quinze;15;false;0;false;
sechzehn;seize;16;false;0;false;
siebzehn;dix-sept;17;false;0;false;
achtzehn;dix-huit;18;false;0;false;
neunzehn;dix-neuf;19;false;0;false;
zwanzig;vingt;20;false;0;false;
endOfList